Date, Year, Month, Day, mean, max, min
20100101, 2010 , 1 , 1 , 5 , 10 , 0
20100102, 2010 , 1 , 2 , 0 , 5 , -5
20100103, 2010 , 1 , 3 , 1 , 10 , -8
20100104, 2010 , 1 , 4 , 6 , 14 , -1
20100105, 2010 , 1 , 5 , 10 , 15 , 5
20100106, 2010 , 1 , 6 , 8 , 15 , 0
20100107, 2010 , 1 , 7 , 18 , 23 , 12
20100108, 2010 , 1 , 8 , 18 , 23 , 11
20100109, 2010 , 1 , 9 , 6 , 14 , -2
20100110, 2010 , 1 , 10 , 2 , 13 , -8
20100111, 2010 , 1 , 11 , 18 , 23 , 12
20100112, 2010 , 1 , 12 , 18 , 25 , 10
20100113, 2010 , 1 , 13 , 18 , 28 , 9
20100114, 2010 , 1 , 14 , 29 , 37 , 21
20100115, 2010 , 1 , 15 , 27 , 30 , 24
20100116, 2010 , 1 , 16 , 22 , 23 , 21
20100117, 2010 , 1 , 17 , 22 , 27 , 18
20100118, 2010 , 1 , 18 , 26 , 28 , 25
20100119, 2010 , 1 , 19 , 24 , 29 , 19
20100120, 2010 , 1 , 20 , 23 , 30 , 16
20100121, 2010 , 1 , 21 , 30 , 31 , 28
20100122, 2010 , 1 , 22 , 32 , 32 , 31
20100123, 2010 , 1 , 23 , 34 , 36 , 32
20100124, 2010 , 1 , 24 , 35 , 39 , 31
20100125, 2010 , 1 , 25 , 26 , 29 , 22
20100126, 2010 , 1 , 26 , 15 , 20 , 10
20100127, 2010 , 1 , 27 , 14 , 21 , 7
20100128, 2010 , 1 , 28 , 8 , 12 , 4
20100129, 2010 , 1 , 29 , 8 , 16 , 1
20100130, 2010 , 1 , 30 , 18 , 22 , 13
20100131, 2010 , 1 , 31 , 18 , 25 , 11
20100201, 2010 , 2 , 1 , 20 , 28 , 12
20100202, 2010 , 2 , 2 , 28 , 30 , 25
20100203, 2010 , 2 , 3 , 23 , 28 , 18
20100204, 2010 , 2 , 4 , 22 , 30 , 15
20100205, 2010 , 2 , 5 , 32 , 34 , 29
20100206, 2010 , 2 , 6 , 26 , 30 , 23
20100207, 2010 , 2 , 7 , 23 , 27 , 19
20100208, 2010 , 2 , 8 , 23 , 28 , 18
20100209, 2010 , 2 , 9 , 24 , 26 , 21
20100210, 2010 , 2 , 10 , 22 , 24 , 19
20100211, 2010 , 2 , 11 , 12 , 21 , 2
20100212, 2010 , 2 , 12 , 16 , 24 , 8
20100213, 2010 , 2 , 13 , 16 , 24 , 7
20100214, 2010 , 2 , 14 , 16 , 24 , 7
20100215, 2010 , 2 , 15 , 18 , 26 , 9
20100216, 2010 , 2 , 16 , 25 , 29 , 21
20100217, 2010 , 2 , 17 , 28 , 30 , 25
20100218, 2010 , 2 , 18 , 28 , 34 , 22
20100219, 2010 , 2 , 19 , 24 , 34 , 13
20100220, 2010 , 2 , 20 , 32 , 35 , 28
20100221, 2010 , 2 , 21 , 32 , 34 , 30
20100222, 2010 , 2 , 22 , 32 , 32 , 31
20100223, 2010 , 2 , 23 , 26 , 28 , 24
20100224, 2010 , 2 , 24 , 21 , 23 , 19
20100225, 2010 , 2 , 25 , 18 , 24 , 13
20100226, 2010 , 2 , 26 , 18 , 26 , 9
20100227, 2010 , 2 , 27 , 28 , 32 , 23
20100228, 2010 , 2 , 28 , 32 , 35 , 30
20100301, 2010 , 3 , 1 , 32 , 34 , 29
20100302, 2010 , 3 , 2 , 27 , 33 , 21
20100303, 2010 , 3 , 3 , 28 , 34 , 21
20100304, 2010 , 3 , 4 , 30 , 39 , 21
20100305, 2010 , 3 , 5 , 30 , 39 , 21
20100306, 2010 , 3 , 6 , 31 , 42 , 20
20100307, 2010 , 3 , 7 , 32 , 35 , 28
20100308, 2010 , 3 , 8 , 36 , 39 , 32
20100309, 2010 , 3 , 9 , 40 , 49 , 32
20100310, 2010 , 3 , 10 , 51 , 59 , 43
20100311, 2010 , 3 , 11 , 52 , 58 , 45
20100312, 2010 , 3 , 12 , 41 , 48 , 34
20100313, 2010 , 3 , 13 , 44 , 45 , 41
20100314, 2010 , 3 , 14 , 44 , 50 , 39
20100315, 2010 , 3 , 15 , 43 , 47 , 39
20100316, 2010 , 3 , 16 , 46 , 58 , 33
20100317, 2010 , 3 , 17 , 45 , 59 , 31
20100318, 2010 , 3 , 18 , 48 , 58 , 37
20100319, 2010 , 3 , 19 , 50 , 59 , 41
20100320, 2010 , 3 , 20 , 32 , 36 , 29
20100321, 2010 , 3 , 21 , 36 , 44 , 29
20100322, 2010 , 3 , 22 , 42 , 52 , 31
20100323, 2010 , 3 , 23 , 44 , 58 , 29
20100324, 2010 , 3 , 24 , 44 , 53 , 35
20100325, 2010 , 3 , 25 , 36 , 44 , 28
20100326, 2010 , 3 , 26 , 31 , 42 , 20
20100327, 2010 , 3 , 27 , 39 , 50 , 28
20100328, 2010 , 3 , 28 , 45 , 55 , 35
20100329, 2010 , 3 , 29 , 39 , 51 , 27
20100330, 2010 , 3 , 30 , 46 , 62 , 29
20100331, 2010 , 3 , 31 , 60 , 75 , 45
20100401, 2010 , 4 , 1 , 64 , 80 , 47
20100402, 2010 , 4 , 2 , 65 , 77 , 53
20100403, 2010 , 4 , 3 , 50 , 56 , 45
20100404, 2010 , 4 , 4 , 55 , 72 , 38
20100405, 2010 , 4 , 5 , 56 , 67 , 45
20100406, 2010 , 4 , 6 , 60 , 73 , 48
20100407, 2010 , 4 , 7 , 46 , 51 , 41
20100408, 2010 , 4 , 8 , 36 , 39 , 34
20100409, 2010 , 4 , 9 , 42 , 55 , 30
20100410, 2010 , 4 , 10 , 54 , 71 , 37
20100411, 2010 , 4 , 11 , 52 , 62 , 43
20100412, 2010 , 4 , 12 , 57 , 70 , 44
20100413, 2010 , 4 , 13 , 56 , 68 , 45
20100414, 2010 , 4 , 14 , 64 , 80 , 47
20100415, 2010 , 4 , 15 , 66 , 79 , 53
20100416, 2010 , 4 , 16 , 59 , 63 , 55
20100417, 2010 , 4 , 17 , 46 , 58 , 35
20100418, 2010 , 4 , 18 , 44 , 58 , 31
20100419, 2010 , 4 , 19 , 44 , 57 , 32
20100420, 2010 , 4 , 20 , 48 , 62 , 34
20100421, 2010 , 4 , 21 , 54 , 68 , 41
20100422, 2010 , 4 , 22 , 48 , 65 , 32
20100423, 2010 , 4 , 23 , 50 , 60 , 39
20100424, 2010 , 4 , 24 , 56 , 60 , 52
20100425, 2010 , 4 , 25 , 52 , 59 , 46
20100426, 2010 , 4 , 26 , 52 , 62 , 42
20100427, 2010 , 4 , 27 , 46 , 55 , 38
20100428, 2010 , 4 , 28 , 46 , 61 , 32
20100429, 2010 , 4 , 29 , 61 , 76 , 46
20100430, 2010 , 4 , 30 , 66 , 76 , 56
20100501, 2010 , 5 , 1 , 60 , 67 , 54
20100502, 2010 , 5 , 2 , 59 , 67 , 51
20100503, 2010 , 5 , 3 , 58 , 68 , 47
20100504, 2010 , 5 , 4 , 62 , 78 , 45
20100505, 2010 , 5 , 5 , 60 , 68 , 53
20100506, 2010 , 5 , 6 , 53 , 65 , 41
20100507, 2010 , 5 , 7 , 50 , 56 , 43
20100508, 2010 , 5 , 8 , 44 , 48 , 39
20100509, 2010 , 5 , 9 , 44 , 55 , 32
20100510, 2010 , 5 , 10 , 46 , 56 , 37
20100511, 2010 , 5 , 11 , 47 , 52 , 42
20100512, 2010 , 5 , 12 , 46 , 48 , 43
20100513, 2010 , 5 , 13 , 59 , 70 , 48
20100514, 2010 , 5 , 14 , 54 , 61 , 46
20100515, 2010 , 5 , 15 , 53 , 61 , 45
20100516, 2010 , 5 , 16 , 53 , 65 , 41
20100517, 2010 , 5 , 17 , 54 , 61 , 48
20100518, 2010 , 5 , 18 , 56 , 66 , 46
20100519, 2010 , 5 , 19 , 60 , 73 , 46
20100520, 2010 , 5 , 20 , 58 , 71 , 46
20100521, 2010 , 5 , 21 , 62 , 69 , 54
20100522, 2010 , 5 , 22 , 65 , 73 , 57
20100523, 2010 , 5 , 23 , 74 , 86 , 61
20100524, 2010 , 5 , 24 , 78 , 88 , 67
20100525, 2010 , 5 , 25 , 76 , 84 , 67
