Date, Year, Month, Day, mean, max, min
20100101, 2010 , 1 , 1 , 54 , 57 , 50
20100102, 2010 , 1 , 2 , 52 , 55 , 49
20100103, 2010 , 1 , 3 , 51 , 55 , 46
20100104, 2010 , 1 , 4 , 50 , 54 , 46
20100105, 2010 , 1 , 5 , 52 , 61 , 42
20100106, 2010 , 1 , 6 , 50 , 54 , 46
20100107, 2010 , 1 , 7 , 52 , 53 , 50
20100108, 2010 , 1 , 8 , 51 , 54 , 47
20100109, 2010 , 1 , 9 , 49 , 54 , 44
20100110, 2010 , 1 , 10 , 49 , 52 , 45
20100111, 2010 , 1 , 11 , 52 , 56 , 47
20100112, 2010 , 1 , 12 , 58 , 62 , 53
20100113, 2010 , 1 , 13 , 56 , 60 , 51
20100114, 2010 , 1 , 14 , 52 , 59 , 45
20100115, 2010 , 1 , 15 , 50 , 54 , 46
20100116, 2010 , 1 , 16 , 52 , 57 , 46
20100117, 2010 , 1 , 17 , 54 , 56 , 51
20100118, 2010 , 1 , 18 , 55 , 58 , 51
20100119, 2010 , 1 , 19 , 54 , 58 , 50
20100120, 2010 , 1 , 20 , 52 , 55 , 49
20100121, 2010 , 1 , 21 , 47 , 51 , 43
20100122, 2010 , 1 , 22 , 47 , 49 , 44
20100123, 2010 , 1 , 23 , 50 , 54 , 45
20100124, 2010 , 1 , 24 , 49 , 54 , 43
20100125, 2010 , 1 , 25 , 54 , 57 , 50
20100126, 2010 , 1 , 26 , 50 , 53 , 47
20100127, 2010 , 1 , 27 , 49 , 54 , 43
20100128, 2010 , 1 , 28 , 51 , 56 , 46
20100129, 2010 , 1 , 29 , 53 , 60 , 46
20100130, 2010 , 1 , 30 , 51 , 58 , 44
20100131, 2010 , 1 , 31 , 51 , 55 , 47
20100201, 2010 , 2 , 1 , 53 , 58 , 47
20100202, 2010 , 2 , 2 , 52 , 56 , 47
20100203, 2010 , 2 , 3 , 52 , 60 , 44
20100204, 2010 , 2 , 4 , 55 , 59 , 50
20100205, 2010 , 2 , 5 , 55 , 62 , 47
20100206, 2010 , 2 , 6 , 54 , 57 , 50
20100207, 2010 , 2 , 7 , 54 , 57 , 50
20100208, 2010 , 2 , 8 , 52 , 55 , 48
20100209, 2010 , 2 , 9 , 52 , 56 , 47
20100210, 2010 , 2 , 10 , 52 , 57 , 46
20100211, 2010 , 2 , 11 , 53 , 59 , 46
20100212, 2010 , 2 , 12 , 57 , 62 , 52
20100213, 2010 , 2 , 13 , 57 , 61 , 52
20100214, 2010 , 2 , 14 , 54 , 60 , 48
20100215, 2010 , 2 , 15 , 55 , 62 , 48
20100216, 2010 , 2 , 16 , 58 , 65 , 50
20100217, 2010 , 2 , 17 , 56 , 65 , 47
20100218, 2010 , 2 , 18 , 54 , 58 , 50
20100219, 2010 , 2 , 19 , 54 , 57 , 50
20100220, 2010 , 2 , 20 , 53 , 56 , 50
20100221, 2010 , 2 , 21 , 53 , 56 , 50
20100222, 2010 , 2 , 22 , 55 , 60 , 49
20100223, 2010 , 2 , 23 , 53 , 56 , 49
20100224, 2010 , 2 , 24 , 55 , 57 , 52
20100225, 2010 , 2 , 25 , 57 , 63 , 50
20100226, 2010 , 2 , 26 , 57 , 61 , 52
20100227, 2010 , 2 , 27 , 55 , 59 , 50
20100228, 2010 , 2 , 28 , 55 , 62 , 47
20100301, 2010 , 3 , 1 , 55 , 59 , 51
20100302, 2010 , 3 , 2 , 55 , 58 , 51
20100303, 2010 , 3 , 3 , 51 , 57 , 45
20100304, 2010 , 3 , 4 , 49 , 56 , 41
20100305, 2010 , 3 , 5 , 51 , 57 , 44
20100306, 2010 , 3 , 6 , 57 , 64 , 50
20100307, 2010 , 3 , 7 , 56 , 59 , 52
20100308, 2010 , 3 , 8 , 51 , 56 , 46
20100309, 2010 , 3 , 9 , 48 , 55 , 40
20100310, 2010 , 3 , 10 , 51 , 56 , 46
20100311, 2010 , 3 , 11 , 55 , 59 , 51
20100312, 2010 , 3 , 12 , 53 , 58 , 48
20100313, 2010 , 3 , 13 , 50 , 57 , 42
20100314, 2010 , 3 , 14 , 53 , 63 , 42
20100315, 2010 , 3 , 15 , 56 , 67 , 44
20100316, 2010 , 3 , 16 , 59 , 67 , 50
20100317, 2010 , 3 , 17 , 62 , 71 , 52
20100318, 2010 , 3 , 18 , 61 , 73 , 48
20100319, 2010 , 3 , 19 , 66 , 78 , 53
20100320, 2010 , 3 , 20 , 57 , 63 , 50
20100321, 2010 , 3 , 21 , 56 , 63 , 49
20100322, 2010 , 3 , 22 , 57 , 64 , 50
20100323, 2010 , 3 , 23 , 60 , 71 , 48
20100324, 2010 , 3 , 24 , 55 , 62 , 47
20100325, 2010 , 3 , 25 , 55 , 60 , 49
20100326, 2010 , 3 , 26 , 55 , 62 , 47
20100327, 2010 , 3 , 27 , 57 , 69 , 45
20100328, 2010 , 3 , 28 , 60 , 70 , 49
20100329, 2010 , 3 , 29 , 59 , 63 , 54
20100330, 2010 , 3 , 30 , 55 , 61 , 49
20100331, 2010 , 3 , 31 , 52 , 58 , 45
20100401, 2010 , 4 , 1 , 52 , 58 , 45
20100402, 2010 , 4 , 2 , 54 , 59 , 48
20100403, 2010 , 4 , 3 , 51 , 57 , 45
20100404, 2010 , 4 , 4 , 52 , 56 , 48
20100405, 2010 , 4 , 5 , 52 , 58 , 46
20100406, 2010 , 4 , 6 , 53 , 62 , 44
20100407, 2010 , 4 , 7 , 58 , 69 , 46
20100408, 2010 , 4 , 8 , 55 , 61 , 48
20100409, 2010 , 4 , 9 , 57 , 69 , 45
20100410, 2010 , 4 , 10 , 56 , 59 , 53
20100411, 2010 , 4 , 11 , 53 , 56 , 49
20100412, 2010 , 4 , 12 , 54 , 59 , 49
20100413, 2010 , 4 , 13 , 55 , 60 , 50
20100414, 2010 , 4 , 14 , 54 , 60 , 48
20100415, 2010 , 4 , 15 , 57 , 66 , 47
20100416, 2010 , 4 , 16 , 60 , 69 , 50
20100417, 2010 , 4 , 17 , 60 , 67 , 53
20100418, 2010 , 4 , 18 , 62 , 76 , 48
20100419, 2010 , 4 , 19 , 58 , 66 , 50
20100420, 2010 , 4 , 20 , 55 , 60 , 49
20100421, 2010 , 4 , 21 , 53 , 57 , 49
20100422, 2010 , 4 , 22 , 57 , 65 , 48
20100423, 2010 , 4 , 23 , 58 , 67 , 48
20100424, 2010 , 4 , 24 , 55 , 63 , 47
20100425, 2010 , 4 , 25 , 62 , 76 , 48
20100426, 2010 , 4 , 26 , 58 , 64 , 51
20100427, 2010 , 4 , 27 , 57 , 62 , 52
20100428, 2010 , 4 , 28 , 54 , 58 , 49
20100429, 2010 , 4 , 29 , 54 , 60 , 48
20100430, 2010 , 4 , 30 , 56 , 64 , 47
20100501, 2010 , 5 , 1 , 57 , 65 , 48
20100502, 2010 , 5 , 2 , 59 , 69 , 49
20100503, 2010 , 5 , 3 , 59 , 68 , 50
20100504, 2010 , 5 , 4 , 59 , 70 , 48
20100505, 2010 , 5 , 5 , 56 , 63 , 49
20100506, 2010 , 5 , 6 , 58 , 69 , 47
20100507, 2010 , 5 , 7 , 57 , 63 , 50
20100508, 2010 , 5 , 8 , 57 , 63 , 50
20100509, 2010 , 5 , 9 , 58 , 62 , 53
20100510, 2010 , 5 , 10 , 54 , 59 , 49
20100511, 2010 , 5 , 11 , 54 , 63 , 45
20100512, 2010 , 5 , 12 , 57 , 64 , 49
20100513, 2010 , 5 , 13 , 58 , 65 , 50
20100514, 2010 , 5 , 14 , 57 , 62 , 51
20100515, 2010 , 5 , 15 , 57 , 64 , 50
20100516, 2010 , 5 , 16 , 55 , 60 , 50
20100517, 2010 , 5 , 17 , 56 , 59 , 52
20100518, 2010 , 5 , 18 , 60 , 66 , 53
20100519, 2010 , 5 , 19 , 58 , 65 , 51
20100520, 2010 , 5 , 20 , 58 , 65 , 50
20100521, 2010 , 5 , 21 , 56 , 61 , 50
20100522, 2010 , 5 , 22 , 55 , 61 , 48
20100523, 2010 , 5 , 23 , 55 , 63 , 47
20100524, 2010 , 5 , 24 , 59 , 65 , 52
20100525, 2010 , 5 , 25 , 58 , 61 , 55
20100526, 2010 , 5 , 26 , 60 , 67 , 53
20100527, 2010 , 5 , 27 , 58 , 63 , 53
20100528, 2010 , 5 , 28 , 58 , 64 , 51
20100529, 2010 , 5 , 29 , 63 , 74 , 52
20100530, 2010 , 5 , 30 , 65 , 76 , 53
20100531, 2010 , 5 , 31 , 61 , 67 , 55
20100601, 2010 , 6 , 1 , 60 , 66 , 53
20100602, 2010 , 6 , 2 , 63 , 71 , 55
20100603, 2010 , 6 , 3 , 68 , 74 , 61
20100604, 2010 , 6 , 4 , 69 , 76 , 62
20100605, 2010 , 6 , 5 , 70 , 80 , 60
20100606, 2010 , 6 , 6 , 66 , 74 , 57
20100607, 2010 , 6 , 7 , 60 , 64 , 55
20100608, 2010 , 6 , 8 , 58 , 62 , 54
20100609, 2010 , 6 , 9 , 61 , 65 , 56
20100610, 2010 , 6 , 10 , 61 , 67 , 54
20100611, 2010 , 6 , 11 , 63 , 73 , 53
20100612, 2010 , 6 , 12 , 74 , 88 , 59
20100613, 2010 , 6 , 13 , 69 , 82 , 56
20100614, 2010 , 6 , 14 , 61 , 67 , 54
20100615, 2010 , 6 , 15 , 57 , 62 , 52
20100616, 2010 , 6 , 16 , 61 , 71 , 50
20100617, 2010 , 6 , 17 , 61 , 70 , 52
20100618, 2010 , 6 , 18 , 58 , 62 , 53
20100619, 2010 , 6 , 19 , 59 , 63 , 54
20100620, 2010 , 6 , 20 , 60 , 68 , 52
20100621, 2010 , 6 , 21 , 62 , 71 , 53
20100622, 2010 , 6 , 22 , 60 , 67 , 53
20100623, 2010 , 6 , 23 , 59 , 65 , 53
20100624, 2010 , 6 , 24 , 56 , 60 , 53
20100625, 2010 , 6 , 25 , 61 , 67 , 55
20100626, 2010 , 6 , 26 , 61 , 67 , 55
20100627, 2010 , 6 , 27 , 67 , 81 , 53
20100628, 2010 , 6 , 28 , 67 , 76 , 58
20100629, 2010 , 6 , 29 , 64 , 71 , 57
20100630, 2010 , 6 , 30 , 61 , 66 , 55
20100701, 2010 , 7 , 1 , 60 , 66 , 53
20100702, 2010 , 7 , 2 , 62 , 69 , 54
20100703, 2010 , 7 , 3 , 67 , 79 , 54
20100704, 2010 , 7 , 4 , 67 , 79 , 55
20100705, 2010 , 7 , 5 , 64 , 72 , 55
20100706, 2010 , 7 , 6 , 65 , 72 , 57
20100707, 2010 , 7 , 7 , 65 , 73 , 56
20100708, 2010 , 7 , 8 , 61 , 66 , 56
20100709, 2010 , 7 , 9 , 61 , 67 , 55
20100710, 2010 , 7 , 10 , 62 , 69 , 55
20100711, 2010 , 7 , 11 , 64 , 70 , 57
20100712, 2010 , 7 , 12 , 67 , 76 , 58
20100713, 2010 , 7 , 13 , 66 , 72 , 59
20100714, 2010 , 7 , 14 , 67 , 74 , 59
20100715, 2010 , 7 , 15 , 67 , 74 , 59
20100716, 2010 , 7 , 16 , 64 , 70 , 57
20100717, 2010 , 7 , 17 , 63 , 70 , 56
20100718, 2010 , 7 , 18 , 62 , 68 , 56
20100719, 2010 , 7 , 19 , 61 , 65 , 56
20100720, 2010 , 7 , 20 , 62 , 69 , 55
20100721, 2010 , 7 , 21 , 59 , 65 , 53
20100722, 2010 , 7 , 22 , 63 , 70 , 55
20100723, 2010 , 7 , 23 , 62 , 68 , 56
20100724, 2010 , 7 , 24 , 62 , 68 , 56
20100725, 2010 , 7 , 25 , 62 , 68 , 55
20100726, 2010 , 7 , 26 , 64 , 72 , 56
20100727, 2010 , 7 , 27 , 64 , 71 , 57
20100728, 2010 , 7 , 28 , 63 , 69 , 57
20100729, 2010 , 7 , 29 , 61 , 67 , 54
20100730, 2010 , 7 , 30 , 60 , 65 , 55
20100731, 2010 , 7 , 31 , 62 , 68 , 56
