Date, Year, Month, Day, mean, max, min
20100101, 2010 , 1 , 1 , -3 , 3 , -8
20100102, 2010 , 1 , 2 , 2 , 4 , -1
20100103, 2010 , 1 , 3 , -4 , 4 , -11
20100104, 2010 , 1 , 4 , -6 , 6 , -17
20100105, 2010 , 1 , 5 , -11 , -5 , -17
20100106, 2010 , 1 , 6 , -13 , -6 , -19
20100107, 2010 , 1 , 7 , -13 , -5 , -21
20100108, 2010 , 1 , 8 , -25 , -20 , -29
20100109, 2010 , 1 , 9 , -34 , -27 , -40
20100110, 2010 , 1 , 10 , -33 , -26 , -40
20100111, 2010 , 1 , 11 , -23 , -19 , -26
20100112, 2010 , 1 , 12 , -15 , -4 , -26
20100113, 2010 , 1 , 13 , -20 , -11 , -28
20100114, 2010 , 1 , 14 , -28 , -26 , -30
20100115, 2010 , 1 , 15 , -23 , -15 , -30
20100116, 2010 , 1 , 16 , -24 , -19 , -28
20100117, 2010 , 1 , 17 , -25 , -14 , -35
20100118, 2010 , 1 , 18 , -32 , -26 , -38
20100119, 2010 , 1 , 19 , -37 , -30 , -43
20100120, 2010 , 1 , 20 , -26 , -13 , -38
20100121, 2010 , 1 , 21 , -20 , -11 , -29
20100122, 2010 , 1 , 22 , -25 , -9 , -41
20100123, 2010 , 1 , 23 , -6 , -1 , -10
20100124, 2010 , 1 , 24 , -9 , 1 , -18
20100125, 2010 , 1 , 25 , -6 , 9 , -21
20100126, 2010 , 1 , 26 , 3 , 7 , -1
20100127, 2010 , 1 , 27 , -19 , -15 , -23
20100128, 2010 , 1 , 28 , -19 , -15 , -22
20100129, 2010 , 1 , 29 , -8 , 0 , -15
20100130, 2010 , 1 , 30 , 3 , 6 , 0
20100131, 2010 , 1 , 31 , -5 , 3 , -13
20100201, 2010 , 2 , 1 , -13 , -7 , -18
20100202, 2010 , 2 , 2 , -6 , 6 , -17
20100203, 2010 , 2 , 3 , -5 , 7 , -16
20100204, 2010 , 2 , 4 , -13 , -8 , -17
20100205, 2010 , 2 , 5 , -13 , -6 , -19
20100206, 2010 , 2 , 6 , -23 , -13 , -32
20100207, 2010 , 2 , 7 , -20 , -10 , -30
20100208, 2010 , 2 , 8 , -22 , -10 , -34
20100209, 2010 , 2 , 9 , -18 , -6 , -30
