Date, Year, Month, Day, mean, max, min
20100101, 2010 , 1 , 1 , 74 , 80 , 67
20100102, 2010 , 1 , 2 , 72 , 79 , 65
20100103, 2010 , 1 , 3 , 79 , 82 , 75
20100104, 2010 , 1 , 4 , 80 , 83 , 76
20100105, 2010 , 1 , 5 , 79 , 81 , 76
20100106, 2010 , 1 , 6 , 77 , 81 , 73
20100107, 2010 , 1 , 7 , 76 , 81 , 71
20100108, 2010 , 1 , 8 , 74 , 81 , 66
20100109, 2010 , 1 , 9 , 75 , 82 , 68
20100110, 2010 , 1 , 10 , 75 , 80 , 70
20100111, 2010 , 1 , 11 , 74 , 82 , 66
20100112, 2010 , 1 , 12 , 72 , 81 , 62
20100113, 2010 , 1 , 13 , 72 , 82 , 61
20100114, 2010 , 1 , 14 , 70 , 76 , 63
20100115, 2010 , 1 , 15 , 71 , 80 , 61
20100116, 2010 , 1 , 16 , 76 , 82 , 69
20100117, 2010 , 1 , 17 , 74 , 82 , 66
20100118, 2010 , 1 , 18 , 74 , 81 , 67
20100119, 2010 , 1 , 19 , 74 , 83 , 64
20100120, 2010 , 1 , 20 , 76 , 83 , 68
20100121, 2010 , 1 , 21 , 75 , 80 , 69
20100122, 2010 , 1 , 22 , 73 , 82 , 64
20100123, 2010 , 1 , 23 , 75 , 82 , 68
20100124, 2010 , 1 , 24 , 75 , 80 , 70
20100125, 2010 , 1 , 25 , 74 , 81 , 67
20100126, 2010 , 1 , 26 , 77 , 84 , 70
20100127, 2010 , 1 , 27 , 76 , 81 , 71
20100128, 2010 , 1 , 28 , 77 , 82 , 71
20100129, 2010 , 1 , 29 , 74 , 80 , 68
20100130, 2010 , 1 , 30 , 76 , 81 , 70
20100131, 2010 , 1 , 31 , 77 , 83 , 70
20100201, 2010 , 2 , 1 , 74 , 80 , 67
20100202, 2010 , 2 , 2 , 73 , 77 , 69
20100203, 2010 , 2 , 3 , 71 , 75 , 67
20100204, 2010 , 2 , 4 , 71 , 76 , 66
20100205, 2010 , 2 , 5 , 71 , 79 , 63
20100206, 2010 , 2 , 6 , 73 , 79 , 67
20100207, 2010 , 2 , 7 , 74 , 83 , 65
20100208, 2010 , 2 , 8 , 77 , 83 , 70
20100209, 2010 , 2 , 9 , 75 , 82 , 67
20100210, 2010 , 2 , 10 , 73 , 82 , 63
20100211, 2010 , 2 , 11 , 74 , 78 , 70
20100212, 2010 , 2 , 12 , 75 , 81 , 69
20100213, 2010 , 2 , 13 , 74 , 80 , 67
20100214, 2010 , 2 , 14 , 74 , 82 , 66
20100215, 2010 , 2 , 15 , 74 , 82 , 66
20100216, 2010 , 2 , 16 , 73 , 85 , 61
20100217, 2010 , 2 , 17 , 71 , 76 , 66
20100218, 2010 , 2 , 18 , 70 , 76 , 63
20100219, 2010 , 2 , 19 , 69 , 76 , 62
20100220, 2010 , 2 , 20 , 72 , 81 , 62
20100221, 2010 , 2 , 21 , 74 , 81 , 66
20100222, 2010 , 2 , 22 , 73 , 79 , 66
20100223, 2010 , 2 , 23 , 73 , 80 , 65
20100224, 2010 , 2 , 24 , 74 , 82 , 66
20100225, 2010 , 2 , 25 , 75 , 84 , 66
20100226, 2010 , 2 , 26 , 78 , 84 , 72
20100227, 2010 , 2 , 27 , 74 , 80 , 67
20100228, 2010 , 2 , 28 , 72 , 76 , 68
20100301, 2010 , 3 , 1 , 74 , 79 , 68
20100302, 2010 , 3 , 2 , 75 , 81 , 69
20100303, 2010 , 3 , 3 , 74 , 79 , 69
20100304, 2010 , 3 , 4 , 73 , 80 , 66
20100305, 2010 , 3 , 5 , 75 , 81 , 68
20100306, 2010 , 3 , 6 , 75 , 81 , 69
20100307, 2010 , 3 , 7 , 74 , 81 , 66
20100308, 2010 , 3 , 8 , 72 , 78 , 66
20100309, 2010 , 3 , 9 , 74 , 81 , 66
20100310, 2010 , 3 , 10 , 76 , 81 , 70
20100311, 2010 , 3 , 11 , 77 , 82 , 71
20100312, 2010 , 3 , 12 , 77 , 82 , 71
20100313, 2010 , 3 , 13 , 75 , 83 , 66
20100314, 2010 , 3 , 14 , 76 , 83 , 68
20100315, 2010 , 3 , 15 , 76 , 82 , 69
20100316, 2010 , 3 , 16 , 75 , 81 , 68
20100317, 2010 , 3 , 17 , 74 , 83 , 65
20100318, 2010 , 3 , 18 , 73 , 78 , 67
20100319, 2010 , 3 , 19 , 72 , 77 , 67
20100320, 2010 , 3 , 20 , 73 , 80 , 66
20100321, 2010 , 3 , 21 , 75 , 84 , 66
20100322, 2010 , 3 , 22 , 76 , 84 , 68
20100323, 2010 , 3 , 23 , 76 , 84 , 67
20100324, 2010 , 3 , 24 , 78 , 83 , 72
20100325, 2010 , 3 , 25 , 76 , 81 , 71
20100326, 2010 , 3 , 26 , 76 , 83 , 69
20100327, 2010 , 3 , 27 , 76 , 82 , 69
20100328, 2010 , 3 , 28 , 77 , 83 , 71
20100329, 2010 , 3 , 29 , 77 , 80 , 73
20100330, 2010 , 3 , 30 , 78 , 83 , 72
20100331, 2010 , 3 , 31 , 78 , 83 , 72
20100401, 2010 , 4 , 1 , 78 , 83 , 72
20100402, 2010 , 4 , 2 , 77 , 83 , 71
20100403, 2010 , 4 , 3 , 76 , 82 , 70
20100404, 2010 , 4 , 4 , 75 , 80 , 69
20100405, 2010 , 4 , 5 , 76 , 82 , 70
20100406, 2010 , 4 , 6 , 76 , 82 , 69
20100407, 2010 , 4 , 7 , 76 , 82 , 69
20100408, 2010 , 4 , 8 , 78 , 85 , 71
20100409, 2010 , 4 , 9 , 77 , 83 , 71
20100410, 2010 , 4 , 10 , 77 , 83 , 71
20100411, 2010 , 4 , 11 , 76 , 82 , 70
20100412, 2010 , 4 , 12 , 73 , 80 , 65
20100413, 2010 , 4 , 13 , 75 , 80 , 69
20100414, 2010 , 4 , 14 , 73 , 79 , 66
20100415, 2010 , 4 , 15 , 73 , 80 , 66
20100416, 2010 , 4 , 16 , 70 , 74 , 65
20100417, 2010 , 4 , 17 , 73 , 78 , 68
20100418, 2010 , 4 , 18 , 75 , 81 , 68
20100419, 2010 , 4 , 19 , 77 , 83 , 71
20100420, 2010 , 4 , 20 , 77 , 83 , 70
20100421, 2010 , 4 , 21 , 77 , 83 , 71
20100422, 2010 , 4 , 22 , 77 , 83 , 70
20100423, 2010 , 4 , 23 , 78 , 84 , 71
20100424, 2010 , 4 , 24 , 78 , 85 , 70
20100425, 2010 , 4 , 25 , 78 , 85 , 70
20100426, 2010 , 4 , 26 , 78 , 84 , 72
20100427, 2010 , 4 , 27 , 79 , 84 , 73
20100428, 2010 , 4 , 28 , 78 , 84 , 72
20100429, 2010 , 4 , 29 , 77 , 83 , 70
20100430, 2010 , 4 , 30 , 79 , 85 , 72
20100501, 2010 , 5 , 1 , 76 , 83 , 69
20100502, 2010 , 5 , 2 , 76 , 79 , 72
20100503, 2010 , 5 , 3 , 76 , 81 , 71
20100504, 2010 , 5 , 4 , 78 , 84 , 71
20100505, 2010 , 5 , 5 , 79 , 84 , 74
20100506, 2010 , 5 , 6 , 78 , 83 , 72
20100507, 2010 , 5 , 7 , 77 , 84 , 70
20100508, 2010 , 5 , 8 , 79 , 85 , 73
20100509, 2010 , 5 , 9 , 79 , 85 , 73
20100510, 2010 , 5 , 10 , 79 , 85 , 73
20100511, 2010 , 5 , 11 , 78 , 86 , 70
20100512, 2010 , 5 , 12 , 79 , 86 , 71
20100513, 2010 , 5 , 13 , 80 , 86 , 74
20100514, 2010 , 5 , 14 , 80 , 86 , 74
20100515, 2010 , 5 , 15 , 78 , 86 , 70
20100516, 2010 , 5 , 16 , 79 , 86 , 72
20100517, 2010 , 5 , 17 , 80 , 86 , 73
20100518, 2010 , 5 , 18 , 81 , 86 , 75
20100519, 2010 , 5 , 19 , 80 , 86 , 73
20100520, 2010 , 5 , 20 , 79 , 85 , 72
20100521, 2010 , 5 , 21 , 80 , 86 , 74
20100522, 2010 , 5 , 22 , 81 , 87 , 75
20100523, 2010 , 5 , 23 , 78 , 84 , 72
20100524, 2010 , 5 , 24 , 80 , 86 , 74
20100525, 2010 , 5 , 25 , 80 , 85 , 74
20100526, 2010 , 5 , 26 , 80 , 86 , 74
20100527, 2010 , 5 , 27 , 76 , 83 , 69
20100528, 2010 , 5 , 28 , 76 , 83 , 69
20100529, 2010 , 5 , 29 , 77 , 85 , 68
20100530, 2010 , 5 , 30 , 79 , 85 , 73
20100531, 2010 , 5 , 31 , 80 , 86 , 74
20100601, 2010 , 6 , 1 , 79 , 85 , 72
20100602, 2010 , 6 , 2 , 80 , 85 , 75
20100603, 2010 , 6 , 3 , 78 , 85 , 71
20100604, 2010 , 6 , 4 , 79 , 84 , 73
20100605, 2010 , 6 , 5 , 80 , 87 , 73
20100606, 2010 , 6 , 6 , 80 , 85 , 74
20100607, 2010 , 6 , 7 , 80 , 86 , 73
20100608, 2010 , 6 , 8 , 81 , 86 , 75
20100609, 2010 , 6 , 9 , 81 , 86 , 75
20100610, 2010 , 6 , 10 , 81 , 86 , 76
20100611, 2010 , 6 , 11 , 81 , 87 , 75
20100612, 2010 , 6 , 12 , 81 , 87 , 75
20100613, 2010 , 6 , 13 , 81 , 87 , 75
20100614, 2010 , 6 , 14 , 80 , 87 , 73
20100615, 2010 , 6 , 15 , 80 , 87 , 72
20100616, 2010 , 6 , 16 , 80 , 87 , 72
20100617, 2010 , 6 , 17 , 80 , 85 , 74
20100618, 2010 , 6 , 18 , 77 , 82 , 72
20100619, 2010 , 6 , 19 , 78 , 86 , 69
20100620, 2010 , 6 , 20 , 81 , 86 , 75
20100621, 2010 , 6 , 21 , 81 , 87 , 74
20100622, 2010 , 6 , 22 , 81 , 87 , 75
20100623, 2010 , 6 , 23 , 81 , 86 , 75
20100624, 2010 , 6 , 24 , 80 , 86 , 75
20100625, 2010 , 6 , 25 , 79 , 86 , 72
20100626, 2010 , 6 , 26 , 78 , 84 , 72
20100627, 2010 , 6 , 27 , 80 , 86 , 74
20100628, 2010 , 6 , 28 , 80 , 86 , 74
20100629, 2010 , 6 , 29 , 79 , 85 , 73
20100630, 2010 , 6 , 30 , 80 , 86 , 75
20100701, 2010 , 7 , 1 , 79 , 85 , 73
20100702, 2010 , 7 , 2 , 80 , 86 , 73
20100703, 2010 , 7 , 3 , 79 , 84 , 73
20100704, 2010 , 7 , 4 , 80 , 85 , 75
20100705, 2010 , 7 , 5 , 80 , 86 , 74
20100706, 2010 , 7 , 6 , 79 , 86 , 71
20100707, 2010 , 7 , 7 , 79 , 86 , 72
20100708, 2010 , 7 , 8 , 79 , 85 , 73
20100709, 2010 , 7 , 9 , 78 , 85 , 71
20100710, 2010 , 7 , 10 , 78 , 85 , 71
20100711, 2010 , 7 , 11 , 78 , 84 , 73
20100712, 2010 , 7 , 12 , 80 , 88 , 72
20100713, 2010 , 7 , 13 , 76 , 82 , 70
20100714, 2010 , 7 , 14 , 80 , 87 , 73
20100715, 2010 , 7 , 15 , 80 , 87 , 72
20100716, 2010 , 7 , 16 , 81 , 88 , 74
20100717, 2010 , 7 , 17 , 80 , 85 , 74
20100718, 2010 , 7 , 18 , 81 , 86 , 75
20100719, 2010 , 7 , 19 , 78 , 85 , 71
20100720, 2010 , 7 , 20 , 80 , 88 , 72
20100721, 2010 , 7 , 21 , 79 , 88 , 70
20100722, 2010 , 7 , 22 , 80 , 86 , 74
20100723, 2010 , 7 , 23 , 81 , 88 , 73
20100724, 2010 , 7 , 24 , 83 , 89 , 77
20100725, 2010 , 7 , 25 , 81 , 87 , 75
20100726, 2010 , 7 , 26 , 82 , 87 , 76
20100727, 2010 , 7 , 27 , 79 , 87 , 71
20100728, 2010 , 7 , 28 , 78 , 87 , 69
20100729, 2010 , 7 , 29 , 80 , 87 , 72
20100730, 2010 , 7 , 30 , 81 , 88 , 74
20100731, 2010 , 7 , 31 , 81 , 86 , 76
20100801, 2010 , 8 , 1 , 79 , 85 , 72
20100802, 2010 , 8 , 2 , 80 , 87 , 73
20100803, 2010 , 8 , 3 , 80 , 85 , 75
20100804, 2010 , 8 , 4 , 79 , 86 , 72
20100805, 2010 , 8 , 5 , 79 , 86 , 71
20100806, 2010 , 8 , 6 , 80 , 89 , 70
20100807, 2010 , 8 , 7 , 83 , 89 , 76
20100808, 2010 , 8 , 8 , 82 , 87 , 76
20100809, 2010 , 8 , 9 , 82 , 88 , 76
20100810, 2010 , 8 , 10 , 82 , 88 , 76
20100811, 2010 , 8 , 11 , 80 , 86 , 73
20100812, 2010 , 8 , 12 , 82 , 88 , 76
20100813, 2010 , 8 , 13 , 82 , 88 , 75
20100814, 2010 , 8 , 14 , 81 , 88 , 74
20100815, 2010 , 8 , 15 , 81 , 87 , 74
20100816, 2010 , 8 , 16 , 81 , 88 , 73
20100817, 2010 , 8 , 17 , 80 , 87 , 72
20100818, 2010 , 8 , 18 , 80 , 87 , 72
20100819, 2010 , 8 , 19 , 82 , 88 , 75
20100820, 2010 , 8 , 20 , 81 , 88 , 74
20100821, 2010 , 8 , 21 , 82 , 87 , 76
20100822, 2010 , 8 , 22 , 81 , 87 , 75
20100823, 2010 , 8 , 23 , 82 , 88 , 76
20100824, 2010 , 8 , 24 , 81 , 87 , 74
20100825, 2010 , 8 , 25 , 79 , 87 , 71
20100826, 2010 , 8 , 26 , 81 , 87 , 74
20100827, 2010 , 8 , 27 , 81 , 87 , 75
20100828, 2010 , 8 , 28 , 83 , 90 , 76
20100829, 2010 , 8 , 29 , 82 , 87 , 76
20100830, 2010 , 8 , 30 , 82 , 89 , 74
